A0000001,2169315,Paul David,King29@gmail.com,M
A0000002,83578621,Jordan John,David2@gmail.com,F
A0000003,6516560,Kobe David,John86@gmail.com,F
A0000004,724651317,Jordan Lee,Lee62@gmail.com,F
A0000005,110818597,James King,King1@gmail.com,M
A0000006,543531,Kobe King,David86@gmail.com,M
A0000007,8068407,Paul John,John83@gmail.com,M
A0000008,7627951,Jordan King,Lee93@gmail.com,M
A0000009,8846822,Paul Lee,King72@gmail.com,M
A0000010,773209865,Kobe John,David89@gmail.com,M
A0000011,623278,James Lee,John4@gmail.com,M
A0000012,856975,James David,Lee28@gmail.com,F
A0000013,7450165,Smith David,King16@gmail.com,F
A0000014,22282550,Paul King,David54@gmail.com,M
A0000015,6073657,Kobe Lee,John9@gmail.com,M
A0000016,21408816,Smith Lee,Lee52@gmail.com,F
A0000017,9155272,Smith King,King18@gmail.com,F
A0000018,4963028,Smith John,David99@gmail.com,M
A0000019,229514074,James John,John3@gmail.com,F
A0000020,356373162,Jordan David,Lee12@gmail.com,M
