A0000001,2169315,Paul David,King29@gmail.com,M,FALSE,,,TRUE,980159374,6017,"206, 194 Avenue, Cincinnati Ohio"
A0000002,83578621,Jordan John,David2@gmail.com,F,TRUE,6802,7883198884,FALSE,,,
A0000003,6516560,Kobe David,John86@gmail.com,F,FALSE,,,TRUE,628287819,6104,"474, 877 Avenue, Columbus Ohio"
A0000004,724651317,Jordan Lee,Lee62@gmail.com,F,TRUE,7807,16918545,FALSE,,,
A0000005,110818597,James King,King1@gmail.com,M,TRUE,5126,5768474837,FALSE,,,
A0000006,543531,Kobe King,David86@gmail.com,M,FALSE,,,TRUE,355470306,1590,"486, 003 Avenue, Columbus Ohio"
A0000007,8068407,Paul John,John83@gmail.com,M,TRUE,8227,2295775945,FALSE,,,
A0000008,7627951,Jordan King,Lee93@gmail.com,M,FALSE,,,TRUE,644895075,9160,"853, 094 Avenue, Cincinnati Ohio"
A0000009,8846822,Paul Lee,King72@gmail.com,M,FALSE,,,TRUE,142702779,8646,"301, 527 Avenue, Cincinnati Ohio"
A0000010,773209865,Kobe John,David89@gmail.com,M,FALSE,,,TRUE,378044292,1887,"862, 500 Avenue, Cleveland Ohio"
A0000011,623278,James Lee,John4@gmail.com,M,FALSE,,,TRUE,505835386,5478,"933, 141 Avenue, Cincinnati Ohio"
A0000012,856975,James David,Lee28@gmail.com,F,FALSE,,,TRUE,835073141,6951,"351, 638 Avenue, Cincinnati Ohio"
A0000013,7450165,Smith David,King16@gmail.com,F,TRUE,4294,6539512843,FALSE,,,
A0000014,22282550,Paul King,David54@gmail.com,M,TRUE,7048,9454687257,FALSE,,,
A0000015,6073657,Kobe Lee,John9@gmail.com,M,TRUE,5576,6021884528,FALSE,,,
A0000016,21408816,Smith Lee,Lee52@gmail.com,F,TRUE,8623,5638849947,FALSE,,,
A0000017,9155272,Smith King,King18@gmail.com,F,FALSE,,,TRUE,276231314,4036,"034, 053 Avenue, Cleveland Ohio"
A0000018,4963028,Smith John,David99@gmail.com,M,TRUE,5351,3271982162,FALSE,,,
A0000019,229514074,James John,John3@gmail.com,F,FALSE,,,TRUE,102581208,1391,"322, 680 Avenue, Columbus Ohio"
A0000020,356373162,Jordan David,Lee12@gmail.com,M,TRUE,6942,8712493,FALSE,,,
